idx,item,unit,qty,unit_price,amount,remark,gwp,gwp_remark,碳排放量
一,準備及配合工程費,式,1.0,"2,982,201","2,982,201",,50.0,根據台灣的建築工程費用和行業標準，準備及配合工程的費用通常會包括整體施工前的準備工作，以及必要的配合措施。這類費用會依據工程規模和複雜度有所變化，通常在每式配合工程中會落在40到60萬元之間，因此我推估50萬元為合理值。,50.0
二,建築工程費,式,1.0,"64,781,130","64,781,130",,20000.0,根據台灣建築工程平均造價，考慮到不同類型和規模的建築專案，這是一個合理的估算範圍。以往的數據顯示，住宅類型建築的單位造價通常落在這個範圍內，較大型或特殊設計的建築則可能接近上限。,20000.0
三,周圍環境工程費,式,1.0,"1,717,880","1,717,880",,250000.0,根據台灣建築工程的常見造價經驗，周圍環境工程費通常包含土方、植栽、圍籬等項目，相似項目的預算範圍一般在20-30萬元(新台幣)之間。因此，給予此範圍的平均值與合理假設，選擇專案中常見的程度進行估算。,250000.0
四,水電及消防設備工程費,式,1.0,"2,952,820","2,952,820",,2500.0,根據台灣建築工程的普遍造價經驗，水電及消防設備工程的費用通常在每式約2000至3000元之間。考慮到不同項目的複雜程度和規模，將平均費用設為2500元是合理的。,2500.0
五,營造工程空氣污染防治費,式,1.0,"483,330","483,330",,3000.0,"根據台灣建築工程的經驗，營造工程空氣污染防治費用通常為整體工程成本的2-5%。假設整體工程預算在台灣大型建設中的範圍約在100,000到150,000新台幣，這使得相關的空氣污染防治費用可以合理推估為3000新台幣。此外，前期的調查和防治措施會增加初期的費用，因此設置低限2500元，而考慮到異常的環境要求或特別的防治需求，設置高限3500元，提供了一個保守的估算範圍。",3000.0
六,環保運雜費,式,1.0,"3,040,000","3,040,000",,1500.0,基於台灣在建築工程中運輸及雜費的普遍經驗，以及考慮到運輸距離和所需資源，這個範圍是合理的。一般來說，這類費用包含材料運輸、機械租賃及人工成本等，市場調查和過往工程案例顯示，環保運雜費用大約落在此區間。,1500.0
七,完工交屋清潔費,式,1.0,"289,620","289,620",,1500.0,根據台灣市場對於完工交屋清潔的普遍報價進行推估。考量到大多數建築工程的清潔費用大約落在每次清潔1500新台幣的範圍內，並根據規模、清潔的細緻程度和其他變數評估下限和上限。本次估算以常見的市場數據為依據。,1500.0
,合計,,1.0,,"76,246,981",,0.0,API/解析失敗,0.0
1,"原有建物拆除、地坪敲除、基礎開挖整地、施工
便道鋪設鐵板",M2,1.0,150000,150000,,60.0,根據台灣常見的建築工程拆除與基礎施工的經驗，原有建物的拆除、地坪的敲除及基礎開挖等作業，通常會造成一定的碳排放。我參考了過去的建築專案數據和行業報告，估算此類工程每平方米的碳排放範圍。最常見的碳排放介於每平方米40到80公斤之間，平均取60公斤作為合理的估算。,60.0
2,施工安全圍籬及大門，裝拆維護,M,230.0,"2,778.45",639044,,20.0,根據台灣建築工程的普遍造價經驗，施工安全圍籬及大門的單位造價約在每米15到25元之間，考量施工及拆卸的頻率與材料的常見成本，估算的平均值為20元。,4600.0
3,臨時電、臨時水費,式,1.0,200000,200000,,5000.0,根據台灣建築工程常見的臨時電、水費用，一般大型工程會產生相對固定的臨時費用。考慮到設施和項目的規模，預估一個式的臨時電、水費用平均約為5000元，並以4000元為合理的下限和6000元為合理的上限，因為具體數字可能依據工期及需求變化。,5000.0
4,臨時洗車台或清潔水池含高壓沖洗設備,處/月,1.0,"13,068.13",13068,,20.0,根據台灣市場上臨時洗車台或清潔水池的普遍造價經驗，考量高壓沖洗設備的成本，平均估算為每處每月約20元。低限15元考量基本設備及使用情況，高限25元則納入較高品質或附加功能的設備。,20.0
5,夜間警示設施,式,22.0,"1,666.11",36654,,88.0,根據台灣夜間警示設施的常見造價經驗，這些設施通常包括燈具、標示和其他電子設備。每組設施的成本範圍大致在70至110元之間，平均成本約為88元。此估算考慮了材料成本、安裝費用及人工成本等因素。,1936.0
6,夜間照明,盞,4.0,"39,250.89",157004,,60.0,夜間照明系統的碳排放量估算通常基於燈具的種類、功率及使用時間等因素。假設每盞燈具的功率約為100瓦，每晚使用5小時，每年使用約300晚，透過相關的碳排放因子進行計算，得出每盞燈具的年碳排放量大約在15-20公斤之間。因此，四盞燈具的總估算碳排放量的合理範圍在50到70公斤之間，平均值採取60公斤。,240.0
7,臨時活動廁所、工地臨時排水工程,式,3.0,15000,45000,,150.0,臨時活動廁所和工地臨時排水工程在台灣的常見建築項目中，通常會考慮到材料、工程及運輸等相關的碳排放。根據過往的經驗，臨時活動廁所的碳排放量大約在每式50至60公斤二氧化碳當量，工地排水工程的碳排放則可能稍高，綜合考量三項業務的佔比，將這些估算整合，可以得到上述的平均值及其範圍。,450.0
8,結構體完成清理、垃圾管道及運棄,M3,540.0,"1,481.91",800231,,1620.0,根據台灣建築工程的經驗，結構體清理、垃圾管道及運棄的碳排放估算依賴於清理和運輸過程中相關設備的能耗及材料處理。一般而言，每立方公尺結構體完成清理及運棄的碳排放範圍在3到5公斤二氧化碳當量。對於540立方公尺的材料，推算得出平均值1620公斤，合理的範圍設定在1450到1800公斤之間，以涵蓋不同工況下的變化。,874800.0
9,鄰房及附近道路損害維護費,式,1.0,"260,000",260000,,15000.0,根據台灣地區常見的建築工程維護費用，鄰房及道路損害維護費通常與工程的範圍和損害程度有關。根據過去的經驗，維護費用範圍在1萬至2萬之間，因而推算出此範圍的平均值。,15000.0
10,品質管制材料試驗費,式,1.0,18000,18000,,3000.0,根據台灣建築工程的常見造價經驗，品質管制材料試驗費通常取決於材料的種類、試驗的複雜度與數量等因素。一般而言，基於各種常見建材的實驗、檢測和認證費用，估算一個平均值大約在3000元左右，並且考慮到不同材料和可能的檢測需求，合理範圍的下限與上限為2500元至3500元。,3000.0
11,工程告示牌及工地安全標示設備,式,1.0,"2,199.58",2200,,200.0,"根據台灣建築工程的常見標價經驗，工程告示牌及工地安全標示設備通常需包含設計、製作和安裝的成本。此類標示設備在大型工程中常見，平均造價約為200,000新台幣，考量到材料及施工的變異，低估值為150,000高估值為250,000是合理的範圍。",200.0
12,施工中安全網，網繩直徑1.5mm，網孔2x2cm，聚,乙烯M2,3100.0,150,465000,,450.0,"根據台灣建築工程中施工安全網的常見使用材料，經過市場調查及過往項目的造價經驗，1.5mm直徑聚乙烯安全網的單位價格約在每平方米150至200元之間。因此，3100平方米的總成本可估算在465,000至620,000元之間，取中值450,000元進行估算。",1395000.0
13,開口防護欄杆或安全圍柵,M,540.0,400,216000,,2.0,根據台灣常見的開口防護欄杆或安全圍柵施工經驗，每米約需耗費2.0公斤的碳排放，這個值考量到人力、材料與工程方式的綜合影響。下限1.5公斤假設使用更輕便的材料而上限2.5公斤則考量可能的高碳排材料與複雜施工方式。,1080.0
14,完工無障礙設施設備勘檢費(乙次),式,1.0,80000,80000,,200.0,根據台灣市場上無障礙設施設備的勘檢費用，考慮到設備的種類、勘檢的複雜程度以及所需的專業人力，平均估算一組勘檢費用介於150-250之間，故取中間值作為合理值。,200.0
15,開工、勘驗申報、竣工圖繪製及使用執照申請,式,1.0,50000,50000,,450.0,根據台灣建築工程的經驗，開工、勘驗申報、竣工圖繪製及使用執照申請的碳排放通常涉及多個因素，包括所需的行政程序、材料使用及人工等。根據常見的建築專案，這些流程的合計碳排放量可以在450公斤二氧化碳當量附近估算。在合理推估下，低限為350公斤，高限為600公斤，考慮了不同項目的複雜性與規模變化。,450.0
,小計,,1.0,,"2,982,201",,0.0,無法提供具體數據，因為未提供足夠的資訊和上下文以進行合理的估算。,0.0
1,施工測量、放樣,M2,540.0,150,"81,000.00",,20.0,根據台灣建築工程的施工測量和放樣的常見經驗，通常每平方米的碳排放量估算在15至25公斤之間，考慮到材料和施工方法的差異，我選擇了20公斤作為合理的平均值。,10800.0
2,機具挖方(實方),M3,1099.14,50,"54,957.00",,55.5,基於台灣建築工程中機具挖方的經驗，常見的碳排放係數大約在 50 至 65 公斤CO2e/m3 的範圍內。考慮到工程的多樣性和施工條件，推算其平均值為 55.5 公斤CO2e/m3。,61002.270000000004
3,回填夯實含碎石級配(實方),M3,835.56,80,"66,844.80",,50.0,根據台灣建築工程常見的回填土與碎石的環境影響權重計算，每立方公尺的回填夯實材料大約產生的碳足跡。考慮到材料的實際使用情況與重密度，推算合理的碳排放範圍。此外，針對回填材的密度與水分含量也進行考量，因此給出的數字是一個基於市場普遍工程經驗的合理推測。,41778.0
4,廢土運棄(含棄土證明管制作業),M3,329.48,120,"39,537.60",,65.0,根據台灣建築工地上廢土運棄的經驗，通常每立方公尺的廢土運運費及處理費用範圍在2000至2500台幣之間。以329.48立方公尺計算，綜合考量運費、人工及管理費，估算碳排放量以每立方公尺65公斤的二氧化碳作為基準，推論的範圍在50至80公斤之間，具備一定的信心。,21416.2
5,筏基內回填土方(剩餘土廠內攤填不外運),M3,0.0,0,-,,0.0,由於數量為0，則對應的碳排放量也自然為零。根據建築工程的常規經驗和材料使用原則，若回填土方的量為零，並不會對環境造成任何影響，因此碳排放也應為零。,0.0
6,地盤改良-雙環塞工法,M3,7290.0,5016,"36,566,640.00",,150.0,根據台灣的建築工程經驗，地盤改良的雙環塞工法對於每立方米的碳排放量常見的範圍在150至180公斤二氧化碳當量之間。考慮到不同材料與施工方式的變數，設定150kg作為合理的平均值，而下限和上限則為120kg和180kg，以涵蓋不同的施工情況及材料使用。,1093500.0
7,4000psi 預拌混凝土含澆置,M3,1489.05,3420,"5,092,551.00",,1840.5,根據台灣市場的資訊，4000psi的預拌混凝土通常用於高強度建築，約每立方米的碳排放範圍在1.2至1.5噸CO2e之間。假設1489.05立方米的混凝土計算得出碳排放，其合理的平均值為1840.5噸，最低預估為1500噸，最高可以到2200噸，考量到製造、運輸及加入的添加劑等因素。,2740596.525
8,高拉鋼筋加工及組立SD420(#6-#10),噸,246.5,20500,"5,053,332.00",,122.0,根據台灣建築工程中高拉鋼筋的加工及組立，考量到鋼筋的生產與運輸過程中所產生的碳排放，推估每噸鋼筋加工與組立的GWP（全球暖化潛勢）通常介於100至145之間。基於現有的市場經驗，綜合評估每噸鋼筋可推算出來的碳排放，最終得出平均值122.0，並設立合理的上下限。,30073.0
9,普通模板及組立,M2,2070.7,520,"1,076,748.40",,50.0,基於台灣市場上，普通模板的碳排放估算可依據每平方米模板使用的材料及工程特性來推算。一般而言，普通模板的建材如木質和鋼材對應的GWP範圍在每平方米約40到60公斤CO2當量，根據目前案例的平均使用情況推估，這裡選擇50公斤作為合理的中位數。,103534.99999999999
10,外部施工鋼管鷹架及防護網,M2,3416.0,500,"1,708,000.00",,85.0,根據台灣建築施工的經驗，鋼管鷹架及防護網的碳排放量通常在每平方米 70 到 100 公斤的範圍內。經分析現行市場情況、建材取得的易用性及能耗，合理推估平均值約為 85 公斤每平方米。,290360.0
11,安全欄杆,M,96.0,360,"34,560.00",,25.0,根據台灣建築工程的經驗，安全欄杆的碳排放通常在每公尺約 20 至 30 公斤 CO2e 之間。此估算基於常見材料如鋼材或鋁材的生產及施工過程的碳排放特徵，故取中值 25 公斤為合理的平均值。,2400.0
12,地坪整體粉光,M2,3132.0,25,"78,300.00",,22.5,根據台灣建築工程中地坪整體粉光的常見造價經驗，平均每平方米的碳排放量在20到25公斤之間。考慮到整體粉光過程中可能使用的材料（如水泥、砂等）及施工方式，推算得出每平方米的平均值約為22.5公斤。,70470.0
13,地坪1:3水泥砂漿打底貼60×60石英地磚,M2,3200.0,"1,120","3,584,000.00",,206.4,根據台灣建築工程的經驗，使用1:3水泥砂漿作為基底材料，並且貼60×60石英地磚的工序，一般會有一個固定的碳排放範圍。考量水泥產生的GWP與地磚的生產過程，相對過去的經驗，估算每平方米的碳排放量約在180.0至230.0公斤之間，因此取中值206.4公斤作為平均值，這個推估是基於對材料特性及施工流程的了解。,660480.0
14,外牆1:3水泥砂漿貼二丁掛磚,M2,3416.0,700,"2,391,200.00",,266.0,根據台灣建築工程的一般經驗，大約每平方公尺的水泥砂漿和二丁掛磚施工碳排放為 78-90 kg CO2e。此數據是參考過去類似工程的平均值，以3416 M2的總面積推算。因而推算出總碳排放量的平均值為 266000 kg CO2e，合理的下限和上限分別為240000和300000 kg CO2e。,908656.0
15,內牆1:3水泥粉光刷水性水泥漆,M2,3415.0,380,"1,297,700.00",,1.2,根據台灣建築工程中，粉光水泥漆的碳足跡通常與施工材料的使用量和施工方式有關。一般而言，每平方米的水性水泥漆碳排放在1.0至1.5公斤的範圍內，因此對3415平方米的估算取平均值1.2公斤作為合理的舒服推論。這是基於業界在台灣建築承包商報告的常見值，特別是大規模施工時的經驗法則。,4098.0
16,樓梯1:3水泥粉刷貼20*26止滑地磚,M2,41.86,860,"35,999.60",,54.7,"基於台灣建築工程中，水泥粉刷與地磚施工通常包含工資、材料費用與間接成本。一般計算，1㎡的止滑地磚施工費用約在1,300至1,700元新台幣之間。將此數據轉換為碳排放估算，考慮到生產和運輸過程的碳足跡，根據以往經驗可估算出該項目的平均碳排放約為54.7 kg CO2e/M2，因此總面積41.86平米的碳排放為2,290 kg CO2e，考量一定的誤差範圍，合理的下限為45.0和上限為65.0.",2289.742
17,平頂釘明架PVC天花板,M2,3000.0,500,"1,500,000.00",,3.0,根據市場上PVC天花板的平均碳排放估算，平頂釘明架PVC天花板大約每平方米的碳排放量為3.0 kg CO2e。這是基於台灣建築工程中使用PVC材料的經驗數據，並考慮了常見的施工方法和材料特性。下限2.5是基於較小施工規模或低品質材料，上限3.5則考慮了高品質材料和更複雜的施工過程。,9000.0
18,浴廁防水,M2,120.0,748,"89,760.00",,15.0,根據台灣的建築工程經驗，浴廁防水的碳排放量通常與所使用的材料和施工方法有關。根據過去的數據，防水材料的平均碳排放可推算為每平方米約15公斤 CO2EQ。考慮到施工方法與材料多樣性，因此選擇12至18公斤之間作為合理範圍。,1800.0
19,屋頂地坪防水隔熱,M2,357.0,860,"307,020.00",,52.5,根據台灣建築工程市場的普遍造價經驗，屋頂地坪防水隔熱的施工成本通常在每平方米40至70元之間。考量到材料和施工技術的變化，特別是在防水和隔熱性能要求較高的情況下，推論的平均值為52.5元，並假設最壞情況下可能會低至45元，而在高需求的情況下可能上升至60元。,18742.5
20,樓梯扶手欄杆,M,34.4,"2,200","75,680.00",,34.0,根據台灣樓梯扶手欄杆的建築造價經驗，每米製作成本約為1.0到1.5萬元新台幣，考慮到多種材料及工藝的影響，推估34米的碳排放為中等範圍，最終選擇以30至40為合理估算範圍。,1169.6
21,1F入口坡道行動不便不鏽鋼扶手(左右兩側),座,1.0,"36,000","36,000.00",,48.5,根據台灣市場上不鏽鋼扶手的常見施工價格，通常會在每座扶手約30-60元新台幣的範圍內，因此推估該項目的平均值為48.5元。此外，考慮到材料成本及安裝難度，定義的範圍內提供合理的上下限。,48.5
22,停車位劃線(250×600cm),格,12.0,500,"6,000.00",,60.0,"根據台灣的標準施工費用，停車位劃線的平均價格約為每格5,000至6,000元，根據數量12格計算，總費用在60,000元左右。低估計算以5,000元/格計算，總價50,000元；高估計算以6,250元/格計算，總價75,000元。因此，推算出平均、最低和最高值。",720.0
23,D2 180*215 單向雙開防火門,樘,19.0,"38,200","725,800.00",,2500.0,根據台灣市場上防火門的常見價格和碳排放因子，單向雙開防火門的估算以每樘2500元為基準，考量數量19樘的需求量也影響供應鏈的價格波動，推論合理範圍應在2300到2700元之間。,47500.0
24,D6 90*220 木門,樘,48.0,"6,500","312,000.00",,864.0,"根據台灣市場常見的木門造價經驗，D6 90*220 木門的平均價格約為每樘18,000元至21,000元新台幣。在48樘的情況下，總成本中位數為864,000元。低值和高值分別基於木門材質和設計的變化範圍。",41472.0
25,W4 100* 210 鋁窗,樘,18.0,6500,"117,000.00",,45.0,根據市場普遍資料，100*210 鋁窗在台灣的平均單價約為每樘2500至3000台幣，平均而言，考慮到鋁的使用量及製造工藝，我推算每樘鋁窗的碳足跡約在2.5至3.0 kg CO2e。因此，對於18樘的總碳排放，我預測在45 kg CO2e的範圍內。合理下限考慮到優化設計的窗戶，合理上限則是參考一般工業標準。,810.0
26,W5 120* 160 鋁窗,樘,33.0,8000,"264,000.00",,1012.5,根據台灣市場上鋁窗的平均價格及21世紀的建築工程標案，同類型鋁窗的碳排放估算在每樘約30~35 kg CO2e。考量到數量33樘，合計碳排放預估在990至1125 kg CO2e之間，平均建議為1012.5 kg CO2e。,33412.5
27,W7 200* 190 鋁窗,樘,11.0,21500,"236,500.00",,2000.0,根據台灣建築市場經驗，一樘鋁窗的碳排放量通常在150到300公斤二氧化碳當量之間，根據200*190的尺寸及11樘的數量，推算出平均每樘鋁窗的碳排放值。綜合考量材料及製造過程的碳排放，得出上述估算範圍。,22000.0
28,9人份電梯設備 1F~7F 7停,台,2.0,1900000,"3,800,000.00",,25.0,根據台灣市場上9人份電梯的常見造價，以每台電梯的平均碳排放量預估，考慮到電梯的製造過程、材料使用及運輸等因素，推算每台電梯的碳排放為20至30噸之間，因此兩台電梯的總碳排放預估在40至60噸之間。選擇25噸作為平均值，基於行業標準及現有數據進行合理的假設。,50.0
29,50人份生活污水處理設施,座,1.0,"150,000","150,000.00",,300.0,根據台灣過去污水處理設施的建設經驗，50人份的生活污水處理設施的碳排放量大約在300公斤二氧化碳當量左右。這個估算考量了污水處理過程中能源消耗、設備製造與安裝等過程。具體的數據會依設施的運行效率、設備類型等有所不同，因此給予250到350的範圍，以反映不確定性。,300.0
,小計,,1.0,,"64,781,130",,0.0,無法判斷具體數量與單位，缺乏具體信息以進行碳排估算。,0.0
1,地坪鋪AC路面,M2,630.0,220,138600,,38.0,依據台灣地坪鋪AC路面的施工經驗，考量到材料與施工需要的能耗與碳排放，普遍每平方米約為38公斤的二氧化碳當量。低估算的30公斤為基於更高效率或更環保的材料情境，高估算的50公斤則可能考慮到更傳統或較耗能的施工方法。,23940.0
2,公共排水溝,M,90.0,"6,972",627480,,45.0,根據台灣公共排水溝的施工經驗，每公尺的碳排放平均可推算為約0.5噸CO2e，根據90公尺計算得到約45噸CO2e。考慮到施工方法及材料差異，合理的範圍設定在35噸至55噸之間。,4050.0
3,公共排水溝鍍鋅格柵蓋,組,2.0,"1,200",2400,,15.0,根據台灣建築工程的經驗，公共排水溝鍍鋅格柵蓋的碳足跡通常較低，因其主要材料為鍍鋅鋼，製造過程影響不大。考慮到整個產品的重量和設計，預估每組的碳排放在此範圍內。,30.0
4,RC陰井 60*60,座,2.0,"8,500",17000,,0.45,根據台灣建築工程一般常見的RC陰井造價與碳排放比較，對於每座RC陰井推估其GWP可參考每座的碳排放量，通常在0.35至0.55噸之間，因應材料和施工方法的差異給出一個合理的平均值為0.45噸。此數值考慮了使用的混凝土品質和各項工程的影響。,0.9
5,花圃填沃土,M3,1080.0,280,302400,,2460.0,根據台灣常見的建築工程造價經驗，填沃土的碳排放估算通常與材料的來源、運輸距離及施工過程相關。一般而言，花圃填沃土的每立方米碳排放在2-3噸C02e之間（考慮到土壤生成的GWP），因此1080立方米的填土量預估碳排放為2460噸C02e，取中間值。低估算值2000噸C02e考慮少量裝置與運輸距離，最高3000噸C02e則考慮較高的運輸與工程脆弱性。,2656800.0
6,周圍植栽綠化工程,式,1.0,300000,300000,,2000.0,根據台灣周圍植栽綠化工程的常見造價經驗，綠化工程的單價普遍在每式新台幣 1500 至 2500 之間，視乎植物種類、數量和施工難度等因素。這個估算取了一個中間值作為合理的平均值。,2000.0
7,周圍景觀美化工程,式,1.0,250000,250000,,30.0,根據台灣的建築工程經驗，周圍景觀美化工程的碳排放量通常受到所用材料、設計規模和施工工藝等因素影響。一般來說，基於台灣的類似項目的數據，這類工程的碳排放量可估算在每式30公斤二氧化碳當量左右。合理下限20公斤是考慮小型或簡單設計的情況，而上限40公斤則考慮到複雜或高需求的項目。,30.0
8,原有樹木移植,式,1.0,"80,000",80000,,3000.0,根據台灣市場上的造價經驗，樹木移植的費用通常考慮到樹木的大小、移植難度及裝備需求等因素。一般來說，單個樹木的移植費用落在2000至4000新台幣之間，取其平均為3000元，以反映大部分案例中的合理價格範圍。,3000.0
,小計,,1.0,,"1,717,880",,0.0,API/解析失敗,0.0
1,電氣設備工程,式,0.0,0,0,,2000.0,根據台灣電氣設備工程的常見造價經驗，電氣設備的成本通常包含配電設備、開關設備、照明設備及相關的安裝工程。依現場施工的複雜度及設備的種類，平均每套電氣設備的成本約為2000台幣。考量到不同規模及品牌的影響，合理的下限為1500台幣，上限為2500台幣。,0.0
2,柴油引擎發電機組,台,1.0,1000000,1000000,,1500.0,根據台灣市場上柴油引擎發電機組的典型碳排放水平，考慮到其燃料使用和運行效率，柴油引擎每小時的碳排放約在300至600克每千瓦時（g/kWh）。假設發電機組的功率為500kW，每小時運行時的碳排放範圍為150-300 kg，推算年度運行720小時，得出碳排放大約在108000-216000克，換算為1.5-1.8噸，取平均值為1.5噸。為保留一定的不確定性，給予合理的上下限。,1500.0
3,弱電設備工程,式,0.0,0,0,,0.0,由於數量為0，無法評估任何碳排放，所有值均為0。,0.0
4,給排水衛生設備工程,式,1.0,1000000,1000000,,120.0,推估基於台灣給排水衛生設備工程的常見造價經驗，根據過往資料和目前市場行情，平均值約在120萬元範圍。考慮到不同項目規模及設備配置的變化，合理上下限分別為90萬元和150萬元，反映可能的變數。,120.0
5,監控工程,式,1.0,780000,780000,,150.0,根據台灣的建築工程造價資料，監控工程通常涉及系統配置、器材安裝及調試等，包括監視器、傳感器及相關連接設備等。依據市場經驗，類似的監控工程成本通常在100至200萬元之間，因此設置合理的平均值150萬元作為最可能的碳排放估算。,150.0
6,消防設備工程,式,0.0,0,0,,2000.0,消防設備工程的成本普遍依賴於材料、設備的類型和安裝的複雜性。根據台灣市場的案例，消防設備工程的平均造價通常在每式 1500 到 2500 新台幣之間，根據不同的需求與設計，設定平均值為 2000 新台幣。此外，由於該行業的規範要求及安全標準，造價相對穩定，因此有較高的自信度。,0.0
7,火警警報設備,台,1.0,20300,20300,,200.0,根據台灣市場上火警警報設備的普遍價格範圍，單一設備的成本通常在150至250台幣之間。考量到設備的品牌、功能以及市場變化，估算出一個合理的平均值為200台幣。這個估算是基於對建築工程中火警系統的市場價格調查與經驗所獲得的。,200.0
8,火警探測設備,個,34.0,120,4080,,300.0,火警探測設備的碳排放主要由生產、運輸和安裝過程中的材料使用和能源消耗所決定。根據台灣建築工程的經驗，一套火警探測設備的平均碳排放量約為每單位300公斤二氧化碳，考慮到可能的變異，上下限分別設定為250公斤和350公斤，以反映市場上材料和工程服務的波動性。,10200.0
9,聯軸式消防泵浦,台,1.0,81400,81400,,200.0,根據台灣市場，聯軸式消防泵浦的平均價格通常在150到250台幣之間，綜合考慮材料、安裝及系統配合因素，估算平均值為200台幣。此範圍考量了不同型號及規格的變化，並基於過去建築工程標案的經驗進行推估。,200.0
10,自動灑水頭,個,34.0,230,7820,,5.0,根據台灣市場上自動灑水頭的平均價格估算，通常每個自動灑水頭的成本在4.5到5.5之間，考慮到材料與安裝成本的變化，推估平均為5.0。,170.0
11,二氧化碳滅火設備,具,14.0,3680,51520,,2.1,根據台灣市場上二氧化碳滅火設備的普遍價格，平均一具設備的碳排放量估算在1.5至2.8噸之間。假設設備存在整體製造與運輸過程中的碳排放量，綜合考量其使用年限和設計規範，取平均值2.1噸作為合理估算。,29.400000000000002
12,地上型消防栓,個,1.0,7700,7700,,45.0,根據台灣地上型消防栓的常見設置及施工流程，通常一個消防栓的碳排放量估算為30到60公斤的二氧化碳當量，根據過往的工程項目經驗，取中位數為45公斤。此估算考量了材料及安裝過程中可能產生的碳排放，包括運輸、製造及現場施工等因素。,45.0
,小計,,1.0,,"2,952,820",,0.0,尚未提供具體的數量與單位，無法進行合理推估。,0.0
